PostalCode,policies,claim_freq,claim_freq_count,claim_severity_mean,claim_severity_median,margin_mean,margin_median
122,49171,0.004270810030302414,210,18162.025865497075,6140.35087719298,-22.859806159734156,1.940175438596
299,25546,0.0026227197995772333,67,13622.745632364493,2430.72807017544,19.55941497955782,2.124824561403
458,13775,0.0023230490018148822,32,20160.273245614033,5653.565789473685,4.546073503345194,1.665701754385
470,10226,0.004302757676510855,44,12946.83323365231,1300.0,3.0691478522074913,2.124824561403
2000,133498,0.003640503977587679,486,19196.413726806728,6140.35087719298,-8.111944272270655,2.900526315789
2196,11048,0.002896451846488052,32,50877.7779605263,27010.6754385965,-21.341082330424356,3.941842105263
7100,10161,0.002755634287963783,28,21165.158245614035,18204.863947368412,6.798053452446612,2.175701754385
7405,18518,0.0015660438492277784,29,21002.02268602541,19271.0526315789,17.516824530425943,1.557719298245
7784,28585,0.0017491691446562883,50,35156.65370877194,13995.765789473699,-13.471242368693684,0.0
8000,11794,0.004324232660674919,51,33685.32997592019,12017.543859649077,-16.03638134965703,3.923684210526
